x,y,z
-3.9397,0.7397,-0.4690
-3.9397,1.4793,2.3451
-3.4144,0.7397,-0.9380
-3.4144,1.4793,-0.4690
-3.4144,2.2190,0.0000
-2.8891,0.7397,0.4690
-2.8891,1.4793,0.9380
-2.8891,2.2190,1.4071
-2.3638,0.7397,1.8761
-2.3638,1.4793,2.3451
-2.3638,2.2190,2.8141
-1.8385,1.4793,-2.8141
-1.8385,2.2190,-2.3451
-1.3132,0.7397,-1.4071
-1.3132,1.4793,-0.9380
-1.3132,2.2190,-0.4690
-0.7879,0.7397,0.0000
-0.7879,1.4793,0.4690
-0.7879,2.2190,0.9380
-0.2626,0.7397,1.4071
-0.2626,1.4793,1.8761
-0.2626,2.2190,2.3451
0.2626,0.7397,2.8141
0.2626,2.2190,-3.2831
0.7879,0.7397,-2.8141
0.7879,1.4793,-2.8141
0.7879,2.2190,-2.3451
1.3132,0.7397,-1.8761
1.3132,1.4793,-1.4071
1.3132,2.2190,-0.9380
1.8385,0.7397,-0.4690
1.8385,1.4793,0.0000
1.8385,2.2190,0.4690
2.3638,0.7397,0.9380
2.3638,1.4793,1.8761
2.3638,2.2190,2.8141
2.8891,1.4793,-3.2831
2.8891,2.2190,-2.8141
3.4144,0.7397,-2.3451
3.4144,1.4793,-1.8761
3.4144,2.2190,-1.4071
3.9397,0.7397,-0.9380
3.9397,1.4793,-0.4690
3.9397,2.2190,0.0000
4.4650,0.7397,0.4690
4.4650,1.4793,0.9380
4.4650,2.2190,1.4071
4.9903,0.7397,1.8761
4.9903,1.4793,2.3451
4.9903,2.2190,2.8141
-3.9397,0.7397,-0.4690
-3.9397,1.4793,2.3451
-3.4144,0.7397,-0.9380
-3.4144,1.4793,-0.4690
-3.4144,2.2190,0.0000
-2.8891,0.7397,0.4690
-2.8891,1.4793,0.9380
-2.8891,2.2190,1.4071
-2.3638,0.7397,1.8761
-2.3638,1.4793,2.3451
-2.3638,2.2190,2.8141
-1.8385,1.4793,-2.8141
-1.8385,2.2190,-2.3451
-1.3132,0.7397,-1.4071
-1.3132,1.4793,-0.9380
-1.3132,2.2190,-0.4690
-0.7879,0.7397,0.0000
-0.7879,1.4793,0.4690
-0.7879,2.2190,0.9380
-0.2626,0.7397,1.4071
-0.2626,1.4793,1.8761
-0.2626,2.2190,2.3451
0.2626,0.7397,2.8141
0.2626,2.2190,-3.2831
0.7879,0.7397,-2.8141
0.7879,1.4793,-2.8141
0.7879,2.2190,-2.3451
1.3132,0.7397,-1.8761
1.3132,1.4793,-1.4071
1.3132,2.2190,-0.9380
1.8385,0.7397,-0.4690
1.8385,1.4793,0.0000
1.8385,2.2190,0.4690
2.3638,0.7397,0.9380
2.3638,1.4793,1.8761
2.3638,2.2190,2.8141
2.8891,1.4793,-3.2831
2.8891,2.2190,-2.8141
3.4144,0.7397,-2.3451
3.4144,1.4793,-1.8761
3.4144,2.2190,-1.4071
3.9397,0.7397,-0.9380
3.9397,1.4793,-0.4690
3.9397,2.2190,0.0000
4.4650,0.7397,0.4690
4.4650,1.4793,0.9380
4.4650,2.2190,1.4071
4.9903,0.7397,1.8761
4.9903,1.4793,2.3451
4.9903,2.2190,2.8141
-3.9397,0.7397,-0.4690
-3.9397,1.4793,2.3451
-3.4144,0.7397,-0.9380
-3.4144,1.4793,-0.4690
-3.4144,2.2190,0.0000
-2.8891,0.7397,0.4690
-2.8891,1.4793,0.9380
-2.8891,2.2190,1.4071
-2.3638,0.7397,1.8761
-2.3638,1.4793,2.3451
-2.3638,2.2190,2.8141
-1.8385,1.4793,-2.8141
-1.8385,2.2190,-2.3451
-1.3132,0.7397,-1.4071
-1.3132,1.4793,-0.9380
-1.3132,2.2190,-0.4690
-0.7879,0.7397,0.0000
-0.7879,1.4793,0.4690
-0.7879,2.2190,0.9380
-0.2626,0.7397,1.4071
-0.2626,1.4793,1.8761
-0.2626,2.2190,2.3451
0.2626,0.7397,2.8141
0.2626,2.2190,-3.2831
0.7879,0.7397,-2.8141
0.7879,1.4793,-2.8141
0.7879,2.2190,-2.3451
1.3132,0.7397,-1.8761
1.3132,1.4793,-1.4071
1.3132,2.2190,-0.9380
1.8385,0.7397,-0.4690
1.8385,1.4793,0.0000
1.8385,2.2190,0.4690
2.3638,0.7397,0.9380
2.3638,1.4793,1.8761
2.3638,2.2190,2.8141
2.8891,1.4793,-3.2831
2.8891,2.2190,-2.8141
3.4144,0.7397,-2.3451
3.4144,1.4793,-1.8761
3.4144,2.2190,-1.4071
3.9397,0.7397,-0.9380
3.9397,1.4793,-0.4690
3.9397,2.2190,0.0000
4.4650,0.7397,0.4690
4.4650,1.4793,0.9380
4.4650,2.2190,1.4071
4.9903,0.7397,1.8761
4.9903,1.4793,2.3451
4.9903,2.2190,2.8141
-3.9397,0.7397,-0.4690
-3.9397,1.4793,2.3451
-3.4144,0.7397,-0.9380
-3.4144,1.4793,-0.4690
-3.4144,2.2190,0.0000
-2.8891,0.7397,0.4690
-2.8891,1.4793,0.9380
-2.8891,2.2190,1.4071
-2.3638,0.7397,1.8761
-2.3638,1.4793,2.3451
-2.3638,2.2190,2.8141
-1.8385,1.4793,-2.8141
-1.8385,2.2190,-2.3451
-1.3132,0.7397,-1.4071
-1.3132,1.4793,-0.9380
-1.3132,2.2190,-0.4690
-0.7879,0.7397,0.0000
-0.7879,1.4793,0.4690
-0.7879,2.2190,0.9380
-0.2626,0.7397,1.4071
-0.2626,1.4793,1.8761
-0.2626,2.2190,2.3451
0.2626,0.7397,2.8141
0.2626,2.2190,-3.2831
0.7879,0.7397,-2.8141
0.7879,1.4793,-2.8141
0.7879,2.2190,-2.3451
1.3132,0.7397,-1.8761
1.3132,1.4793,-1.4071
1.3132,2.2190,-0.9380
1.8385,0.7397,-0.4690
1.8385,1.4793,0.0000
1.8385,2.2190,0.4690
2.3638,0.7397,0.9380
2.3638,1.4793,1.8761
2.3638,2.2190,2.8141
2.8891,1.4793,-3.2831
2.8891,2.2190,-2.8141
3.4144,0.7397,-2.3451
3.4144,1.4793,-1.8761
3.4144,2.2190,-1.4071
3.9397,0.7397,-0.9380
3.9397,1.4793,-0.4690
3.9397,2.2190,0.0000
4.4650,0.7397,0.4690
4.4650,1.4793,0.9380
4.4650,2.2190,1.4071
4.9903,0.7397,1.8761
4.9903,1.4793,2.3451
4.9903,2.2190,2.8141
-3.9397,0.7397,-0.4690
-3.9397,1.4793,2.3451
-3.4144,0.7397,-0.9380
-3.4144,1.4793,-0.4690
-3.4144,2.2190,0.0000
-2.8891,0.7397,0.4690
-2.8891,1.4793,0.9380
-2.8891,2.2190,1.4071
-2.3638,0.7397,1.8761
-2.3638,1.4793,2.3451
-2.3638,2.2190,2.8141
-1.8385,1.4793,-2.8141
-1.8385,2.2190,-2.3451
-1.3132,0.7397,-1.4071
-1.3132,1.4793,-0.9380
-1.3132,2.2190,-0.4690
-0.7879,0.7397,0.0000
-0.7879,1.4793,0.4690
-0.7879,2.2190,0.9380
-0.2626,0.7397,1.4071
-0.2626,1.4793,1.8761
-0.2626,2.2190,2.3451
0.2626,0.7397,2.8141
0.2626,2.2190,-3.2831
0.7879,0.7397,-2.8141
0.7879,1.4793,-2.8141
0.7879,2.2190,-2.3451
1.3132,0.7397,-1.8761
1.3132,1.4793,-1.4071
1.3132,2.2190,-0.9380
1.8385,0.7397,-0.4690
1.8385,1.4793,0.0000
1.8385,2.2190,0.4690
2.3638,0.7397,0.9380
2.3638,1.4793,1.8761
2.3638,2.2190,2.8141
2.8891,1.4793,-3.2831
2.8891,2.2190,-2.8141
3.4144,0.7397,-2.3451
3.4144,1.4793,-1.8761
3.4144,2.2190,-1.4071
3.9397,0.7397,-0.9380
3.9397,1.4793,-0.4690
3.9397,2.2190,0.0000
4.4650,0.7397,0.4690
4.4650,1.4793,0.9380
4.4650,2.2190,1.4071
4.9903,0.7397,1.8761
4.9903,1.4793,2.3451
4.9903,2.2190,2.8141
-3.9397,0.7397,-0.4690
-3.9397,1.4793,2.3451
-3.4144,0.7397,-0.9380
-3.4144,1.4793,-0.4690
-3.4144,2.2190,0.0000
-2.8891,0.7397,0.4690
-2.8891,1.4793,0.9380
-2.8891,2.2190,1.4071
-2.3638,0.7397,1.8761
-2.3638,1.4793,2.3451
-2.3638,2.2190,2.8141
-1.8385,1.4793,-2.8141
-1.8385,2.2190,-2.3451
-1.3132,0.7397,-1.4071
-1.3132,1.4793,-0.9380
-1.3132,2.2190,-0.4690
-0.7879,0.7397,0.0000
-0.7879,1.4793,0.4690
-0.7879,2.2190,0.9380
-0.2626,0.7397,1.4071
-0.2626,1.4793,1.8761
-0.2626,2.2190,2.3451
0.2626,0.7397,2.8141
0.2626,2.2190,-3.2831
0.7879,0.7397,-2.8141
0.7879,1.4793,-2.8141
0.7879,2.2190,-2.3451
1.3132,0.7397,-1.8761
1.3132,1.4793,-1.4071
1.3132,2.2190,-0.9380
1.8385,0.7397,-0.4690
1.8385,1.4793,0.0000
1.8385,2.2190,0.4690
2.3638,0.7397,0.9380
2.3638,1.4793,1.8761
2.3638,2.2190,2.8141
2.8891,1.4793,-3.2831
2.8891,2.2190,-2.8141
3.4144,0.7397,-2.3451
3.4144,1.4793,-1.8761
3.4144,2.2190,-1.4071
3.9397,0.7397,-0.9380
3.9397,1.4793,-0.4690
3.9397,2.2190,0.0000
4.4650,0.7397,0.4690
4.4650,1.4793,0.9380
4.4650,2.2190,1.4071
4.9903,0.7397,1.8761
4.9903,1.4793,2.3451
4.9903,2.2190,2.8141
